Lake Name,Municipality,Geographic Township,MNRF District,Coordinates,Waterbody ID,Fish Species
Jeannettes Creek,Municipality of Chatham-Kent,Raleigh,Aylmer,"42.329, -82.312",17-3833-46875,"['Common Carp', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'White Sucker', 'Yellow Bullhead']"
Johns L.,Town of South Bruce Peninsula,Amabel,Midhurst,"44.699, -81.254",17-4799-49493,"['Brown Trout', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Smallmouth Bass']"
Johnson Creek,Municipality of Meaford,Sydenham,Midhurst,"44.688, -80.763",17-5172-49513,not available
Johnston's Creek,Municipality of Grey Highlands,Euphrasia,Midhurst,"44.414, -80.66",17-5290-49179,not available
Joshua's Creek,City of Mississauga,Toronto,Aurora,"43.483, -79.625",17-6112-48151,"['Common Carp', 'Rainbow Trout', 'Rock Bass', 'White Sucker']"
Judges Creek,Municipality of Northern Bruce Peninsula,Eastnor,Midhurst,"44.96, -81.215",17-4830-49784,not available
Katabokokonk Creek,City of Markham,Markham,Aurora,"43.936, -79.228",17-6424-48632,"['Rainbow Trout', 'Rock Bass', 'White Sucker']"
Keady Creek,Township of Georgian Bluffs,Derby,Midhurst,"44.466, -81.065",17-4920-49235,not available
Keefer Creek,Municipality of Meaford,Sydenham,Midhurst,"44.611, -80.811",17-5093-49420,not available
Kelly Lake,Township of King,King,Aurora,"43.948, -79.616",17-6110-48669,['Rainbow Trout']
Kelso Lake,Town of Milton,Nassagaweya,Aurora,"43.51, -79.948",17-5849-48185,"['Black Crappie', 'Brown Bullhead', 'Brown Trout', 'Largemouth Bass', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Kenollie Creek,City of Mississauga,Toronto,Aurora,"43.558, -79.603",17-6144-48228,not available
Kerrys Creek,Township of Ashfield-Colborne-Wawanosh,Ashfield,Guelph,"43.959, -81.729",17-4412-48682,"['Brown Trout', 'Coho Salmon', 'Rainbow Trout', 'White Sucker']"
Kettle Creek,Municipality of Central Elgin,Southwold,Aylmer,"42.671, -81.219",17-4822-47199,"['Rainbow Trout', 'Black Crappie', 'Brown Bullhead', 'Channel Catfish', 'Common Carp', 'Freshwater Drum', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Bluegill', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Crappie', 'White Perch', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Kettle's Lake,Township of Tiny,Tiny,Midhurst,"44.844, -79.977",17-5808-49659,"['Brook Trout', 'Largemouth Bass', 'Rainbow Trout', 'White Sucker', 'Yellow Perch']"
Kincardine Creek,Municipality of Kincardine,Kincardine,Midhurst,"44.196, -81.559",17-4520-48903,not available
Kinlough Creek,Municipality of South Bruce,Culross,Midhurst,"44.069, -81.372",17-4733-48811,not available
Komoka Cr.,Municipality of Middlesex Centre,Lobo,Aylmer,"42.933, -81.441",17-4640-47532,not available
Lake Aquitaine,City of Mississauga,Toronto,Aurora,"43.588, -79.754",17-6005-48267,"['Black Crappie', 'Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Lake Belwood,Township of Centre Wellington,Garafraxa,Guelph,"43.745, -80.334",17-5535-48461,"['Brown Bullhead', 'Common Carp', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Lake Charles,Township of Georgian Bluffs,Keppel,Midhurst,"44.759, -81.019",17-4985-49560,"['Largemouth Bass', 'Northern Pike', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Lake Couchiching,Township of Oro-Medonte,not available,Midhurst,"44.627, -79.389",17-6286-49481,"['Muskellunge', 'Black Crappie', 'Brown Bullhead', 'Burbot', 'Channel Catfish', 'Common Carp', 'Lake Trout', 'Lake Whitefish', 'Largemouth Bass', 'Bowfin', 'Northern Pike', 'Pumpkinseed', 'Rainbow Smelt', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Lake Erie,City of Port Colborne,not available,Guelph,"42.873, -79.264",17-5000-46773,"['Northern Pike', 'Bluegill', 'Brown Bullhead', 'Brown Trout', 'Channel Catfish', 'Common Carp', 'Freshwater Drum', 'Lake Trout', 'Largemouth Bass', 'Bowfin', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Bass', 'White Crappie', 'White Perch', 'Yellow Perch']"
Lake Hunger,Norfolk County,Windham,Aylmer,"42.97, -80.481",17-5423-47574,"['Black Crappie', 'Bluegill', 'Brown Bullhead', 'Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Lake Ontario,County of Prince Edward County,not available,Peterborough,"43.99, -76.902",17-7415-48483,"['Muskellunge', 'Black Crappie', 'Bowfin', 'Brook Trout', 'Brown Bullhead', 'Brown Trout', 'Channel Catfish', 'Coho Salmon', 'Common Carp', 'Freshwater Drum', 'Lake Trout', 'Lake Whitefish', 'Largemouth Bass', 'Bluegill', 'Northern Pike', 'Pumpkinseed', 'Rainbow Smelt', 'Rainbow Trout', 'Rock Bass', 'Round Whitefish', 'Smallmouth Bass', 'Walleye', 'White Bass', 'White Perch', 'White Sucker', 'Yellow Perch']"
Lake Rosalind,Municipality of Brockton,Brant,Midhurst,"44.176, -81.051",17-4947-48902,"['Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Lake Simcoe,Township of Oro-Medonte,not available,Midhurst,"44.489, -79.334",17-6327-49193,"['Largemouth Bass', 'Black Crappie', 'Bowfin', 'Brook Trout', 'Brown Bullhead', 'Brown Trout', 'Burbot', 'Channel Catfish', 'Cisco', 'Common Carp', 'Lake Trout', 'Lake Whitefish', 'Bluegill', 'Muskellunge', 'Northern Pike', 'Pumpkinseed', 'Rainbow Smelt', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Crappie', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Lake St. Clair,not available,not available,Aylmer,"42.534, -82.633",17-3630-47027,not available
Lake St. George,Township of Severn,Orillia,Midhurst,"44.733, -79.377",17-6285-49544,"['Rainbow Trout', 'Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Channel Catfish', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Lake St. John,Township of Ramara,Rama,Midhurst,"44.687, -79.325",17-6328-49494,"['Northern Pike', 'Black Crappie', 'Brown Bullhead', 'Channel Catfish', 'Common Carp', 'Largemouth Bass', 'Muskellunge', 'Bowfin', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Lake Victoria,City of Stratford,North Easthope,Guelph,"43.375, -80.977",17-5020-48022,"['Common Carp', 'Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Lake Wabukayne,City of Mississauga,Toronto,Aurora,"43.58, -79.739",17-6023-48262,"['Brown Bullhead', 'Common Carp', 'Pumpkinseed', 'White Sucker']"
Lake Whittaker,Municipality of Thames Centre,Dorchester,Aylmer,"42.914, -80.959",17-5033-47510,"['Pumpkinseed', 'Black Crappie', 'Brook Trout', 'Brown Trout', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Bluegill', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Lakelet Lake,Township of Howick,Howick,Guelph,"43.956, -81.065",17-4947-48661,"['Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Laurel Creek,City of Waterloo,Waterloo,Guelph,"43.476, -80.514",17-5418-48144,"['Brown Bullhead', 'Common Carp', 'Pumpkinseed', 'Rock Bass', 'White Sucker']"
Laurel Creek Reservoir,City of Waterloo,Waterloo,Guelph,"43.479, -80.574",17-5350-48144,"['Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Rock Bass', 'Smallmouth Bass']"
Lazy Lake,Township of Uxbridge,Uxbridge,Aurora,"44.046, -79.248",17-6404-48783,"['Brown Bullhead', 'Largemouth Bass']"
Levey Lake,County of Brant,Burford,Guelph,"43.157, -80.491",17-5414-47782,"['Northern Pike', 'Pumpkinseed', 'Yellow Perch']"
Levi's Creek,City of Brampton,Toronto,Aurora,"43.626, -79.772",17-6022-48299,"['Bluegill', 'Brown Bullhead', 'Brown Trout', 'Coho Salmon', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'White Sucker', 'Yellow Bullhead']"
Liffy Ditch,Municipality of West Perth,Hibbert,Guelph,"43.497, -81.293",17-4757-48143,not available
Limestone Creek,City of Burlington,Nelson,Aurora,"43.449, -79.896",17-5913-48100,"['Largemouth Bass', 'Brook Trout', 'Brown Trout', 'Coho Salmon', 'Common Carp', 'Brown Bullhead', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Lindsay L. 12,Municipality of Northern Bruce Peninsula,Lindsay,Midhurst,"45.004, -81.401",17-4684-49833,['Pumpkinseed']
Lindsay L. 14,Municipality of Northern Bruce Peninsula,Lindsay,Midhurst,"45.009, -81.408",17-4678-49838,['Smallmouth Bass']
Little Beaver Creek,Town of the Blue Mountains,Collingwood,Midhurst,"44.556, -80.468",17-5430-49351,not available
Little Credit River,Town of Caledon,Caledon,Aurora,"43.798, -79.926",17-5871-48500,"['Brook Trout', 'Brown Bullhead', 'Brown Trout', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'White Sucker']"
Little Etobicoke Creek,City of Mississauga,Toronto,Aurora,"43.619, -79.61",17-6170-48301,"['Rock Bass', 'White Sucker']"
Little Lake,Town of Midland,Tay,Midhurst,"44.735, -79.889",17-5880-49539,"['Black Crappie', 'Brook Trout', 'Brown Bullhead', 'Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Little Lake,Municipality of Northern Bruce Peninsula,Eastnor,Midhurst,"44.96, -81.22",17-4829-49772,"['Rainbow Smelt', 'Black Crappie', 'Common Carp', 'Northern Pike', 'Pumpkinseed', 'Brown Bullhead', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Little Lake,Township of Georgian Bay,Baxter,Parry Sound,"44.819, -79.714",17-6016-49633,"['Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Little Lake,Township of Springwater,Vespra,Midhurst,"44.425, -79.671",17-6058-49199,"['Pumpkinseed', 'Black Crappie', 'Channel Catfish', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Brown Bullhead', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Little Lake,Township of Puslinch,Puslinch,Guelph,"43.425, -80.259",17-5594-48071,"['Black Crappie', 'Northern Pike']"
Little Mill Creek,Town of Saugeen Shores,Saugeen,Midhurst,"44.339, -81.352",17-4721-49124,"['Brook Trout', 'Brown Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Little Otter Creek,Norfolk County,Middleton,Aylmer,"42.806, -80.704",17-5136-47310,not available
Little Rouge Creek,City of Markham,Markham,Aurora,"43.861, -79.197",17-6502-48511,"['Brook Trout', 'Brown Bullhead', 'Brown Trout', 'Largemouth Bass', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Little Turnbull Lake,Township of North Dumfries,Dumfries,Guelph,"43.284, -80.429",17-5464-47923,['Rock Bass']
Long Lake,Township of Severn,Matchedash,Midhurst,"44.789, -79.494",17-6191-49604,"['Lake Trout', 'Largemouth Bass', 'Muskellunge', 'Northern Pike', 'Pumpkinseed', 'Walleye', 'White Sucker', 'Yellow Perch']"
Loon Lake,Municipality of Northern Bruce Peninsula,St Edmunds,Midhurst,"45.242, -81.55",17-4569-50097,['Yellow Perch']
Lorne Creek,Municipality of Kincardine,Kincardine,Midhurst,"44.244, -81.597",17-4521-48977,not available
Lornewood Creek,City of Mississauga,Toronto,Aurora,"43.539, -79.616",17-6131-48209,"['Northern Pike', 'Pumpkinseed', 'White Sucker']"
Louise Creek,Municipality of West Grey,Bentinck,Midhurst,"44.25, -80.956",17-5040-49013,not available
Louise Lake,Municipality of West Grey,Bentinck,Midhurst,"44.271, -80.955",17-5035-49020,"['Rock Bass', 'Smallmouth Bass']"
Lovers Creek,City of Barrie,not available,Midhurst,"44.375, -79.651",17-6075-49151,not available
Lower Andrew Lake,Municipality of Northern Bruce Peninsula,St Edmunds,Midhurst,"45.206, -81.454",17-4640-50059,"['Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Yellow Perch']"
Lower Eastern Lake,Township of Severn,Matchedash,Midhurst,"44.814, -79.485",17-6199-49635,"['Cisco', 'Largemouth Bass', 'Pumpkinseed', 'White Sucker', 'Yellow Perch']"
Loyalist Creek,City of Mississauga,Toronto,Aurora,"43.532, -79.66",17-6091-48208,not available
Lutteral Creek,Township of Guelph/eramosa,Eramosa,Guelph,"43.7, -80.214",17-5592-48312,"['Brook Trout', 'Largemouth Bass', 'Rock Bass', 'Smallmouth Bass']"
Lymburner Lake,Municipality of Northern Bruce Peninsula,Lindsay,Midhurst,"45.216, -81.35",17-4723-50070,"['Smallmouth Bass', 'Yellow Perch']"
Lynn River,Norfolk County,Woodhouse,Aylmer,"42.785, -80.199",17-5655-47370,"['Common Carp', 'Largemouth Bass', 'Pumpkinseed', 'Sauger', 'Walleye', 'White Sucker']"
Macey Lake,Township of Tiny,Tiny,Midhurst,"44.815, -80.004",17-5787-49627,['Brown Bullhead']
MacLean Lake,Township of Severn,Matchedash,Midhurst,"44.817, -79.653",17-6066-49634,"['Northern Pike', 'Black Crappie', 'Brook Trout', 'Brown Bullhead', 'Largemouth Bass', 'Muskellunge', 'Bowfin', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Mad River,Township of Clearview,Sunnidale,Midhurst,"44.34, -79.901",17-5876-49167,"['Brook Trout', 'White Sucker']"
Maple Creek,Haldimand County,Moulton,Guelph,"42.886, -79.574",17-6171-47486,"['Bluegill', 'Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'White Crappie', 'White Sucker']"
Maple Leaf Creek,City of Toronto,York,Aurora,"43.711, -79.49",17-6210-48401,not available
Marden Creek,Township of Guelph/eramosa,Guelph,Guelph,"43.604, -80.289",17-5579-48238,"['Black Crappie', 'Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Marden P.,Township of Guelph/eramosa,Guelph,Guelph,"43.58, -80.312",17-5556-48252,not available
Marl Creek,Township of Springwater,Flos,Midhurst,"44.477, -79.845",17-5882-49213,not available
Marl Creek,Municipality of Brockton,Brant,Midhurst,"44.155, -81.051",17-4960-48883,not available
Marl Lake,Municipality of Brockton,Brant,Midhurst,"44.164, -81.052",17-4960-48902,"['Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Marl Lake,Town of Wasaga Beach,Flos,Midhurst,"44.514, -79.984",17-5808-49292,"['Bowfin', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Smallmouth Bass']"
Marley Lake,Municipality of Northern Bruce Peninsula,St Edmunds,Midhurst,"45.192, -81.432",17-4660-50041,"['Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Yellow Perch']"
Marr Lake,Municipality of Northern Bruce Peninsula,St Edmunds,Midhurst,"45.242, -81.528",17-4585-50097,"['Pumpkinseed', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Mary Lake,Township of Georgian Bluffs,Keppel,Midhurst,"44.736, -81.001",17-4998-49534,"['Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Mary Lake,Township of King,King,Aurora,"43.953, -79.547",17-6164-48671,"['Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Yellow Perch']"
Maryville Lake,Town of South Bruce Peninsula,Amabel,Midhurst,"44.592, -81.224",17-4822-49375,"['Brook Trout', 'Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Maskinonge (Jersey) River,Town of Georgina,North Gwillimbury,Aurora,"44.229, -79.452",17-6225-48987,"['Northern Pike', 'Black Crappie', 'Bowfin', 'Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Bluegill', 'Pumpkinseed', 'Rainbow Smelt', 'Rock Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Masseygrove Creek,City of Toronto,Etobicoke,Aurora,"43.738, -79.578",17-6146-48437,not available
Matthews Lake,Township of Southgate,Egremont,Midhurst,"44.124, -80.748",17-5202-48855,['Brook Trout']
Maxwell Creek,Township of Georgian Bluffs,Derby,Midhurst,"44.544, -80.979",17-5053-49365,not available
Maxwell Creek,Municipality of Chatham-Kent,Dover,Aylmer,"42.537, -82.356",17-3961-47170,"['Largemouth Bass', 'White Crappie']"
McCallum's Pond,Town of Caledon,Caledon,Aurora,"43.878, -80.079",17-5742-48585,"['Pumpkinseed', 'Rock Bass', 'White Sucker']"
McCormick Lake,Municipality of West Grey,Bentinck,Midhurst,"44.248, -80.851",17-5119-48991,"['Smallmouth Bass', 'Yellow Perch']"
McCrone's Lakes,Township of North Dumfries,Dumfries,Guelph,"43.293, -80.421",17-5473-47922,"['Bluegill', 'Brown Bullhead', 'Largemouth Bass', 'Pumpkinseed', 'White Sucker', 'Yellow Perch']"
McCullough Lake,Township of Chatsworth,Sullivan,Midhurst,"44.358, -80.92",17-5064-49115,"['Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
McFarlane Lake,Township of Huron-Kinloss,Kinloss,Midhurst,"44.045, -81.402",17-4678-48767,"['Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Yellow Perch']"
McGill Lake,Municipality of Meaford,Sydenham,Midhurst,"44.49, -80.825",17-5140-49261,"['Brook Trout', 'White Sucker']"
McGregor Creek,Municipality of Chatham-Kent,Harwich,Aylmer,"42.403, -82.156",17-4026-46947,"['Brown Bullhead', 'Northern Pike', 'White Sucker']"
McKechnie Creek,Municipality of West Grey,Glenelg,Midhurst,"44.281, -80.796",17-5133-48994,not available
McKenzie Creek,Haldimand County,Oneida,Guelph,"43.033, -79.948",17-5902-47633,"['Black Crappie', 'Bluegill', 'Brook Trout', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'White Sucker', 'Yellow Bullhead']"
McNab Lake,Township of Georgian Bluffs,Keppel,Midhurst,"44.646, -81.075",17-4947-49439,"['Northern Pike', 'Pumpkinseed', 'Yellow Perch']"
Meaford Creek,Municipality of Meaford,St Vincent,Midhurst,"44.581, -80.584",17-5331-49402,not available
Medway Creek,Municipality of Middlesex Centre,London,Aylmer,"43.109, -81.325",17-4783-47625,"['Pumpkinseed', 'Bluegill', 'Largemouth Bass', 'Muskellunge', 'Northern Pike', 'Common Carp', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker']"
Melville Pond,Town of Caledon,Caledon,Aurora,"43.896, -80.059",17-5750-48610,"['Brook Trout', 'Brown Bullhead', 'Northern Pike', 'Pumpkinseed', 'White Sucker']"
Menarys L.,Township of Chatsworth,Holland,Midhurst,"44.485, -80.707",17-5233-49256,['Brook Trout']
Meux Creek,Municipality of West Grey,Normanby,Midhurst,"44.044, -80.998",17-4987-48846,not available
Middle Sixteen Mile Creek,Town of Milton,Trafalgar,Aurora,"43.551, -79.822",17-5983-48205,"['Pumpkinseed', 'Black Crappie', 'Brook Trout', 'Brown Bullhead', 'Common Carp', 'Bluegill', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Bullhead']"
Middleton Creek,Township of Chatsworth,Holland,Midhurst,"44.39, -80.735",17-5199-49161,not available
Mill Creek,Town of Kingsville,Gosfield,Aylmer,"42.038, -82.748",17-3551-46547,"['Common Carp', 'White Bass', 'White Sucker', 'Yellow Perch']"
Mill Creek,Town of Saugeen Shores,Saugeen,Midhurst,"44.441, -81.366",17-4708-49217,"['Brown Bullhead', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Bullhead']"
Mill Creek,City of Cambridge,Dumfries,Guelph,"43.371, -80.3",17-5567-47997,not available
Mill Creek,Municipality of Grey Highlands,Euphrasia,Midhurst,"44.466, -80.488",17-5398-49255,"['Brook Trout', 'Brown Trout', 'Burbot', 'Rainbow Trout', 'White Sucker']"
Mill Pond,Township of Norwich,Norwich,Aylmer,"42.93, -80.599",17-5323-47527,['Common Carp']
Mill Pond,Town of the Blue Mountains,Collingwood,Midhurst,"44.559, -80.451",17-5437-49339,"['Channel Catfish', 'Rainbow Trout', 'Smallmouth Bass', 'White Sucker']"
Mill Pond,Town of Milton,Trafalgar,Aurora,"43.514, -79.887",17-5900-48185,"['Pumpkinseed', 'Black Crappie', 'Brown Bullhead', 'Brown Trout', 'Common Carp', 'Largemouth Bass', 'Bluegill', 'Rainbow Trout', 'Rock Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Miller Lake,Municipality of Northern Bruce Peninsula,Lindsay,Midhurst,"45.101, -81.394",17-4689-49939,"['Brown Bullhead', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Mimico Creek,City of Toronto,Etobicoke,Aurora,"43.66, -79.558",17-6224-48302,"['Pumpkinseed', 'Black Crappie', 'Brown Bullhead', 'Brown Trout', 'Common Carp', 'Freshwater Drum', 'Lake Trout', 'Largemouth Bass', 'Bluegill', 'Rainbow Smelt', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Bass', 'White Perch', 'White Sucker', 'Yellow Perch']"
Minkes Lake,Township of Chatsworth,Sullivan,Midhurst,"44.376, -80.917",17-5066-49134,"['Brown Trout', 'Northern Pike', 'Rock Bass', 'Yellow Perch']"
Minniehill Creek,Municipality of Meaford,St Vincent,Midhurst,"44.554, -80.637",17-5278-49347,not available
Mohawk Lake,City of Brantford,Brantford,Guelph,"43.133, -80.232",17-5624-47757,"['Black Crappie', 'Common Carp', 'Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Moison Creek,Town of Lakeshore,Rochester,Aylmer,"42.285, -82.669",17-3626-46842,['Common Carp']
Monora Creek,Town of Mono,Mono,Midhurst,"43.935, -80.099",17-5736-48647,"['Brook Trout', 'Brown Bullhead', 'Brown Trout', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Montgomery Creek,City of Kitchener,Waterloo,Guelph,"43.437, -80.458",17-5432-48070,['White Sucker']
Moore Lake,Municipality of Northern Bruce Peninsula,St Edmunds,Midhurst,"45.219, -81.421",17-4670-50071,"['Northern Pike', 'Pumpkinseed', 'Yellow Perch']"
Moore Pond,County of Brant,Dumfries,Guelph,"43.278, -80.391",17-5494-47916,['Largemouth Bass']
Morningside Creek,City of Markham,Markham,Aurora,"43.849, -79.246",17-6458-48526,"['Brown Bullhead', 'Brown Trout', 'Common Carp', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Morrison Creek,Town of Oakville,Trafalgar,Aurora,"43.479, -79.702",17-6092-48134,['White Sucker']
Morrison Lake,Municipality of South Huron,Usborne,Guelph,"43.359, -81.449",17-4635-47996,"['Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass']"
Mount Albert Creek,Township of Uxbridge,Scott,Aurora,"44.194, -79.315",17-6345-48952,"['Brook Trout', 'Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Mount Joy Creek,City of Markham,Markham,Aurora,"43.878, -79.254",17-6405-48587,"['Bluegill', 'Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Pumpkinseed']"
Mount Pleasant P.s,County of Brant,Brantford,Guelph,"43.072, -80.319",17-5554-47688,not available
Mountain Creek,Township of Chatsworth,Sullivan,Midhurst,"44.315, -80.885",17-5080-49031,not available
Mountain Lake,Township of Georgian Bluffs,Keppel,Midhurst,"44.705, -81.046",17-4964-49501,"['Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Mountain Lake,Township of Severn,Matchedash,Midhurst,"44.866, -79.657",17-6061-49687,"['Brown Bullhead', 'Largemouth Bass', 'Yellow Perch']"
Mountsberg Creek,Town of Milton,Nassagaweya,Aurora,"43.5, -80.062",17-5755-48128,"['Brook Trout', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'White Sucker']"
Mountsberg Reservoir,City of Hamilton,East Flamborough,Guelph,"43.461, -80.046",17-5771-48122,"['Black Crappie', 'Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass']"
Mud Creek,Municipality of Lambton Shores,Bosanquet,Aylmer,"43.185, -81.919",17-4268-47842,"['Bluegill', 'Common Carp', 'Largemouth Bass', 'Pumpkinseed', 'White Crappie', 'White Sucker']"
Mud Creek,Township of Georgian Bluffs,Keppel,Midhurst,"44.659, -80.977",17-5026-49439,not available
Mud Lake,Town of South Bruce Peninsula,Albemarle,Midhurst,"44.8, -81.242",17-4808-49605,"['Largemouth Bass', 'Northern Pike', 'Yellow Perch']"
Mud Lake,Township of Ramara,Rama,Midhurst,"44.666, -79.297",17-6350-49471,"['Brown Bullhead', 'Largemouth Bass', 'Muskellunge', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Mud Lake,Township of Tay,Tay,Midhurst,"44.718, -79.86",17-5902-49522,"['Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Yellow Perch']"
Mullet Creek,City of Mississauga,Toronto,Aurora,"43.561, -79.691",17-6077-48225,not available
Munn's Creek,Town of Oakville,Trafalgar,Aurora,"43.467, -79.722",17-6049-48124,not available
Muskrat Creek,Municipality of South Bruce,Culross,Midhurst,"43.982, -81.264",17-4786-48717,"['Brook Trout', 'White Sucker']"
Musselman Lake,Town of Whitchurch-Stouffville,Whitchurch,Aurora,"44.03, -79.274",17-6384-48765,"['Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
